date,account_value
2020-07-01,999999.9999999998
2020-07-02,1004000.0439723048
2020-07-06,1019337.8204901324
2020-07-07,1005277.1364769982
2020-07-08,1011036.8754625887
2020-07-09,998770.5882895391
2020-07-10,1012730.7794609782
2020-07-13,1010544.0295833504
2020-07-14,1030139.1297948237
2020-07-15,1038819.9780467036
2020-07-16,1035003.0829647193
2020-07-17,1035427.4003270459
2020-07-20,1035545.5266751908
2020-07-21,1042115.576901681
2020-07-22,1047326.7735350445
2020-07-23,1037795.456386174
2020-07-24,1026434.6125573865
2020-07-27,1030652.2435347061
2020-07-28,1023940.8819288675
2020-07-29,1028831.832264052
2020-07-30,1018502.7767972144
2020-07-31,1017965.9741199833
2020-08-03,1025476.6772786874
2020-08-04,1029703.8171837751
2020-08-05,1042742.4930738356
2020-08-06,1048308.5674992065
2020-08-07,1051489.268678182
2020-08-10,1063374.5177426308
2020-08-11,1061102.2660645447
2020-08-12,1070268.5276262264
2020-08-13,1064390.9109010568
2020-08-14,1065227.4551005003
2020-08-17,1062427.5770756272
2020-08-18,1061230.9477360134
2020-08-19,1057765.3483411816
2020-08-20,1058778.2620801697
2020-08-21,1062387.2028787942
2020-08-24,1076305.7400802898
2020-08-25,1079347.574030332
2020-08-26,1091808.7291674453
2020-08-27,1100662.7442805073
2020-08-28,1107189.9897084928
2020-08-31,1100139.627422793
2020-09-01,1108454.470575499
2020-09-02,1126573.691894449
2020-09-03,1096926.8252680474
2020-09-04,1093034.9067478338
2020-09-08,1068961.6858320949
2020-09-09,1084700.3528326496
2020-09-10,1069755.97016858
2020-09-11,1076264.3342208276
2020-09-14,1087965.7101938676
2020-09-15,1086597.942924297
2020-09-16,1088502.448619321
2020-09-17,1083441.8014671917
2020-09-18,1073538.7814737798
2020-09-21,1053802.3450642766
2020-09-22,1059954.1792112524
2020-09-23,1040750.3958916232
2020-09-24,1042610.5700387185
2020-09-25,1054507.385981961
2020-09-28,1070328.9389488213
2020-09-29,1064728.7637833979
2020-09-30,1075704.9704421638
2020-10-01,1076476.1563546208
2020-10-02,1071560.4769933093
2020-10-05,1088287.1749992336
2020-10-06,1075090.985793363
2020-10-07,1094229.5105238196
2020-10-08,1102692.1023528697
2020-10-09,1108033.7577070468
2020-10-12,1118318.677732585
2020-10-13,1110673.7325826932
2020-10-14,1105314.9763758318
2020-10-15,1104604.573875948
2020-10-16,1108117.9840390712
2020-10-19,1092545.4532815556
2020-10-20,1096517.1622601962
2020-10-21,1093603.1963001427
2020-10-22,1101688.4721027394
2020-10-23,1097832.0881661784
2020-10-26,1073561.619004545
2020-10-27,1064096.3220503828
2020-10-28,1028749.9165173407
2020-10-29,1035701.5147552514
2020-10-30,1030196.6793842973
2020-11-02,1045937.6170120088
2020-11-03,1065803.9776212592
2020-11-04,1073414.1334309147
2020-11-05,1094274.4894451885
2020-11-06,1092723.253657776
2020-11-09,1131820.207445331
2020-11-10,1141893.7169633133
2020-11-11,1140514.3630160212
2020-11-12,1128262.0294250904
2020-11-13,1145812.1142693402
2020-11-16,1164819.411975153
2020-11-17,1159666.9298917295
2020-11-18,1146540.6416828802
2020-11-19,1149964.0935110291
