date,account_value
2020-07-01,1000000.0
2020-07-02,1002587.4175193731
2020-07-06,1020431.2579675021
2020-07-07,1005026.0274431619
2020-07-08,1011900.8239498014
2020-07-09,997879.8783399164
2020-07-10,1012212.2084466612
2020-07-13,1012619.8059765173
2020-07-14,1034233.6961218356
2020-07-15,1043065.355025347
2020-07-16,1037809.7275751816
2020-07-17,1035373.39219118
2020-07-20,1035719.652964776
2020-07-21,1041912.4666252371
2020-07-22,1048334.6297142351
2020-07-23,1034611.8004524517
2020-07-24,1027529.7175532106
2020-07-27,1031989.1802598829
2020-07-28,1024012.2934083799
2020-07-29,1030234.600268081
2020-07-30,1021464.657210794
2020-07-31,1025916.0073922256
2020-08-03,1035080.355648603
2020-08-04,1041449.3703245749
2020-08-05,1055930.6827873776
2020-08-06,1063130.0561216422
2020-08-07,1064935.130896719
2020-08-10,1078830.6735463394
2020-08-11,1074772.9703840693
2020-08-12,1086027.696522824
2020-08-13,1082917.5666358778
2020-08-14,1084249.0064092784
2020-08-17,1080906.342738093
2020-08-18,1078311.6993849063
2020-08-19,1075004.7459883792
2020-08-20,1076823.3921841858
2020-08-21,1084222.242657783
2020-08-24,1098900.8335381239
2020-08-25,1096570.8707981675
2020-08-26,1099811.4834509029
2020-08-27,1106036.0648503911
2020-08-28,1112309.1697653383
2020-08-31,1103620.806868417
2020-09-01,1111990.5067411596
2020-09-02,1129646.8492928352
2020-09-03,1098290.195423269
2020-09-04,1092101.7033884034
2020-09-08,1067551.9131038338
2020-09-09,1084615.8896769444
2020-09-10,1068859.697663448
2020-09-11,1073947.3124413365
2020-09-14,1086667.8278369189
2020-09-15,1086755.9283446744
2020-09-16,1088183.7327870568
2020-09-17,1083121.7444907704
2020-09-18,1073628.1945092003
2020-09-21,1053841.4421748938
2020-09-22,1059294.7271325618
2020-09-23,1038912.9551899389
2020-09-24,1040943.5126759142
2020-09-25,1054860.8909074913
2020-09-28,1070780.4706956975
2020-09-29,1065679.6635870438
2020-09-30,1078452.5692157233
2020-10-01,1079819.0369018458
2020-10-02,1074613.8284169622
2020-10-05,1092696.7988147128
2020-10-06,1078105.5502621983
2020-10-07,1098706.7394762877
2020-10-08,1103444.5300349134
2020-10-09,1109709.5224246199
2020-10-12,1119438.2598201805
2020-10-13,1113316.1843470994
2020-10-14,1106879.6158394495
2020-10-15,1106110.973027381
2020-10-16,1110463.0016381075
2020-10-19,1094512.7155627748
2020-10-20,1098913.570960932
2020-10-21,1095110.540436829
2020-10-22,1101043.6016535982
2020-10-23,1099953.1872796419
2020-10-26,1074713.604895625
2020-10-27,1066088.3983867932
2020-10-28,1029472.9327113597
2020-10-29,1034874.964705824
2020-10-30,1028760.6226680194
2020-11-02,1045198.4942557225
2020-11-03,1066742.1011216182
2020-11-04,1081013.094472103
2020-11-05,1102073.058361259
2020-11-06,1099480.7653658523
2020-11-09,1131877.7937340578
2020-11-10,1142085.1701188262
2020-11-11,1141181.1163714298
2020-11-12,1128857.6598046895
2020-11-13,1144371.2342408905
2020-11-16,1162640.4894472081
2020-11-17,1156154.2601542056
2020-11-18,1142764.4993352527
2020-11-19,1144503.9915464667
2020-11-20,1135973.557528766
2020-11-23,1148697.9396419867
2020-11-24,1166359.3619991867
2020-11-25,1159613.83517045
2020-11-27,1161085.007504774
2020-11-30,1150536.8292418988
