date,account_value
2020-07-01,1000000.0
2020-07-02,1002997.0469253797
2020-07-06,1018319.5009891433
2020-07-07,1004272.8636133848
2020-07-08,1010026.8486139746
2020-07-09,997772.815474065
2020-07-10,1011861.7800993497
2020-07-13,1009923.5728199227
2020-07-14,1029610.897668516
2020-07-15,1038434.4374180733
2020-07-16,1034648.7331377548
2020-07-17,1035162.0614229244
2020-07-20,1035491.9250922163
2020-07-21,1042003.2307484513
2020-07-22,1047277.1326061256
2020-07-23,1037718.9184692017
2020-07-24,1026213.9600199683
2020-07-27,1030484.2706492634
2020-07-28,1023794.4845590035
2020-07-29,1028610.34005955
2020-07-30,1018299.6693634038
2020-07-31,1017534.7864528847
2020-08-03,1025375.2691922289
2020-08-04,1029600.5839865359
2020-08-05,1042839.1163618958
2020-08-06,1048310.0783416174
2020-08-07,1051577.9069379868
2020-08-10,1063806.083365143
2020-08-11,1061600.9259545966
2020-08-12,1070572.817486538
2020-08-13,1064431.7108652273
2020-08-14,1065359.8189622513
2020-08-17,1062538.6925102633
2020-08-18,1061242.7118236548
2020-08-19,1057766.8737084146
2020-08-20,1058910.1485248436
2020-08-21,1061879.7789041484
2020-08-24,1075858.090770408
2020-08-25,1079050.9794559903
2020-08-26,1090893.3239309224
2020-08-27,1100011.5745387003
2020-08-28,1106895.2356031414
2020-08-31,1099462.778291528
2020-09-01,1106609.7296633006
2020-09-02,1125666.3249806874
2020-09-03,1096695.6575165193
2020-09-04,1093213.1900112848
2020-09-08,1069141.754414546
2020-09-09,1084364.773569774
2020-09-10,1069302.8492176784
2020-09-11,1076151.1605760336
2020-09-14,1087830.1587864286
2020-09-15,1086419.3649234143
2020-09-16,1088813.4258671973
2020-09-17,1084022.7813760007
2020-09-18,1074094.171991142
2020-09-21,1054260.476271523
2020-09-22,1060091.7550297715
2020-09-23,1040333.4330171495
2020-09-24,1042007.2887854784
2020-09-25,1054256.5935901145
2020-09-28,1070865.096021731
2020-09-29,1064731.65787489
2020-09-30,1075812.6430562618
2020-10-01,1076393.2237014042
2020-10-02,1071458.1912634897
2020-10-05,1088286.4789826307
2020-10-06,1074951.2308186444
2020-10-07,1094175.9076680213
2020-10-08,1102914.5613071038
2020-10-09,1107503.549710635
2020-10-12,1117661.5702981574
2020-10-13,1109692.8505303164
2020-10-14,1104466.7360344736
2020-10-15,1103777.4716845532
2020-10-16,1107394.8997175368
2020-10-19,1091837.9802712216
2020-10-20,1095451.196455509
2020-10-21,1092445.5273736012
2020-10-22,1101146.3594342968
2020-10-23,1096476.9280359799
2020-10-26,1071964.0649828403
2020-10-27,1061620.9576267262
2020-10-28,1026550.0914923962
2020-10-29,1033321.3506900137
2020-10-30,1028463.5240082704
2020-11-02,1044120.468059654
2020-11-03,1063536.6918075997
2020-11-04,1071747.397469602
2020-11-05,1091975.1212945788
2020-11-06,1090360.4048932495
2020-11-09,1132009.3840203804
2020-11-10,1143512.3261709975
2020-11-11,1141592.794559487
2020-11-12,1128463.8286715776
2020-11-13,1147384.459514143
2020-11-16,1166737.308929655
2020-11-17,1161440.6149357774
2020-11-18,1147791.8432169522
2020-11-19,1151167.0396419475
2020-11-20,1143856.7491922004
2020-11-23,1157664.3020418254
2020-11-24,1177080.9313309516
2020-11-25,1171147.1826700403
2020-11-27,1171571.599212434
2020-11-30,1162958.8650556523
2020-12-01,1172132.0501451772
2020-12-02,1177244.9664967244
2020-12-03,1180572.2397461443
2020-12-04,1191868.710148285
2020-12-07,1184926.557769961
2020-12-08,1189689.617409891
2020-12-09,1186156.736870696
2020-12-10,1183965.3793212392
2020-12-11,1186451.7608380558
2020-12-14,1177927.3129595714
2020-12-15,1191792.7224944448
2020-12-16,1189524.8616223827
2020-12-17,1194297.8513013015
2020-12-18,1188555.7687703152
2020-12-21,1187710.1041165967
2020-12-22,1180416.9883105096
2020-12-23,1185040.729446598
2020-12-24,1188183.6252472932
2020-12-28,1196425.9778788062
2020-12-29,1195206.5221878209
2020-12-30,1197301.9265370078
2020-12-31,1205218.2936036151
2021-01-04,1189879.14002046
2021-01-05,1196722.443996365
2021-01-06,1211851.9447653603
2021-01-07,1219596.2670162541
2021-01-08,1221596.0864772657
2021-01-11,1217753.778316032
2021-01-12,1220433.2582731564
2021-01-13,1222065.1607096968
2021-01-14,1221256.9323854875
2021-01-15,1213491.4485050277
2021-01-19,1219019.0627777956
2021-01-20,1229116.6460981963
2021-01-21,1230171.1195259448
2021-01-22,1219107.7184869617
2021-01-25,1217940.3330380297
2021-01-26,1216367.17335387
2021-01-27,1192312.7433666883
2021-01-28,1204431.2714390336
2021-01-29,1180396.8181852554
2021-02-01,1190277.5557279831
2021-02-02,1207780.1966876506
2021-02-03,1208544.8917436213
2021-02-04,1223805.355251514
2021-02-05,1228946.0127655775
2021-02-08,1238684.1188448549
2021-02-09,1237408.6908586014
2021-02-10,1237626.8181414616
2021-02-11,1239640.850806964
2021-02-12,1241265.3664675243
2021-02-16,1243615.7055933147
2021-02-17,1248415.800106049
2021-02-18,1244338.7278976445
2021-02-19,1242902.2833224821
2021-02-22,1243903.931154646
2021-02-23,1245871.488264152
2021-02-24,1261527.2265961457
2021-02-25,1241228.8557333
2021-02-26,1221895.120137184
2021-03-01,1245646.83010377
2021-03-02,1239226.1191823226
2021-03-03,1234953.2270114
2021-03-04,1221404.115269729
2021-03-05,1245848.0400700623
2021-03-08,1257282.5248018892
2021-03-09,1259148.020033184
2021-03-10,1276209.488892541
2021-03-11,1281587.7847320677
2021-03-12,1290759.706334535
2021-03-15,1299496.4040162999
2021-03-16,1296003.6556603806
2021-03-17,1302130.6193276485
2021-03-18,1293674.6656987672
2021-03-19,1284514.074976706
2021-03-22,1290907.614462382
2021-03-23,1280717.978814652
2021-03-24,1279805.457077827
2021-03-25,1287709.0977492626
2021-03-26,1308856.9615966247
2021-03-29,1312850.1889949986
2021-03-30,1306422.1308532301
2021-03-31,1302550.381055802
2021-04-01,1309379.1802426893
2021-04-05,1324800.432229218
2021-04-06,1321529.3771926286
2021-04-07,1323311.347749565
2021-04-08,1324448.339025205
2021-04-09,1334875.8977664174
2021-04-12,1330551.1909042913
2021-04-13,1327493.1515699956
2021-04-14,1328442.366869731
2021-04-15,1338185.975898248
2021-04-16,1345266.3661906887
2021-04-19,1340670.7870784006
2021-04-20,1331728.3255867646
2021-04-21,1343768.5461370782
2021-04-22,1331612.3213655632
2021-04-23,1336955.9865804543
2021-04-26,1333847.6335404995
2021-04-27,1332820.7783010905
2021-04-28,1328172.1086577938
2021-04-29,1337135.9881631294
2021-04-30,1329651.3598035108
2021-05-03,1338643.6044032862
2021-05-04,1337623.6272022943
2021-05-05,1341554.8286352393
2021-05-06,1354337.085908098
2021-05-07,1363317.994682927
2021-05-10,1361435.6826388258
2021-05-11,1344048.0153017119
2021-05-12,1319982.8082473765
2021-05-13,1336622.7887955997
2021-05-14,1350593.8608760159
2021-05-17,1348877.6318192084
2021-05-18,1338452.7797047165
2021-05-19,1332871.2010745858
2021-05-20,1341529.7055743034
2021-05-21,1344288.778226981
2021-05-24,1352909.3694507058
2021-05-25,1348789.998391942
