date,account_value
2020-07-01,999860.4999886323
2020-07-02,1000647.6945314789
2020-07-06,1002853.9173728942
2020-07-07,999420.4041662596
2020-07-08,1001712.7140188594
2020-07-09,998848.9915896602
2020-07-10,999593.1269159693
2020-07-13,995569.6626592632
2020-07-14,1003827.3030851744
2020-07-15,1003645.7003873441
2020-07-16,1001368.3795170973
2020-07-17,1002539.0022357556
2020-07-20,1007848.0029628369
2020-07-21,1005905.435862312
2020-07-22,1008787.3913080974
2020-07-23,1000801.9991730496
2020-07-24,998464.4961739345
2020-07-27,1003817.1030455776
2020-07-28,999821.5556587216
2020-07-29,1005413.0593909451
2020-07-30,1001909.6616638182
2020-07-31,1004724.6778175351
2020-08-03,1014483.2488845823
2020-08-04,1017170.0108216855
2020-08-05,1023112.8063462827
2020-08-06,1032375.3308447263
2020-08-07,1030247.2418012999
2020-08-10,1034851.1628192137
2020-08-11,1026547.5208187865
2020-08-12,1041088.1544400023
2020-08-13,1040669.186461601
2020-08-14,1039134.7995374678
2020-08-17,1045596.2768407819
2020-08-18,1048723.3122697829
2020-08-19,1045220.0063488005
2020-08-20,1049435.8793041226
2020-08-21,1055332.3724147794
2020-08-24,1063057.7240154264
2020-08-25,1070426.1400573729
2020-08-26,1119727.7372634886
2020-08-27,1123336.9446899411
2020-08-28,1123035.2519172668
2020-08-31,1120432.135819702
2020-09-01,1133167.5043710326
2020-09-02,1142638.7888882444
2020-09-03,1107921.6549715041
2020-09-04,1093864.2918950652
2020-09-08,1071150.3265259932
2020-09-09,1096664.0522797392
2020-09-10,1082486.1042061995
2020-09-11,1085486.5594578169
2020-09-14,1098279.0093617246
2020-09-15,1104361.9488392638
2020-09-16,1099705.896743164
2020-09-17,1090844.6491500854
2020-09-18,1079312.5764665222
2020-09-21,1067798.8632106017
2020-09-22,1077238.3487709044
2020-09-23,1056226.522519989
2020-09-24,1057880.9984724424
2020-09-25,1071023.2009091186
2020-09-28,1083705.1867220686
2020-09-29,1083170.6495958709
2020-09-30,1095272.6887041472
2020-10-01,1096996.3965898894
2020-10-02,1093374.0375811004
2020-10-05,1110261.7365557097
2020-10-06,1098766.4672762298
2020-10-07,1122279.3945223235
2020-10-08,1125341.0122610473
2020-10-09,1136690.0312415694
2020-10-12,1148718.7993232345
2020-10-13,1146243.6286536788
2020-10-14,1139830.520171318
2020-10-15,1138888.9285454177
2020-10-16,1141794.431818237
2020-10-19,1126073.1756296537
2020-10-20,1133870.9495267866
2020-10-21,1131033.1098504255
2020-10-22,1128028.1861278533
2020-10-23,1128347.7711618422
2020-10-26,1103866.098248329
2020-10-27,1106137.4816452407
2020-10-28,1063792.702459755
2020-10-29,1071371.490106201
2020-10-30,1058535.9377750396
2020-11-02,1074707.2910617827
2020-11-03,1096973.652293167
2020-11-04,1101213.020803604
2020-11-05,1127092.333337631
2020-11-06,1124854.8962458419
2020-11-09,1128990.6197407912
2020-11-10,1131107.8350339888
2020-11-11,1136814.5413943862
2020-11-12,1129290.2989030075
2020-11-13,1141412.5073292921
2020-11-16,1151884.4932440566
2020-11-17,1149338.8980263518
2020-11-18,1140991.1157518767
2020-11-19,1149125.8159656143
2020-11-20,1142600.5540779494
2020-11-23,1145726.4797463608
2020-11-24,1158081.2555228805
2020-11-25,1147779.1368003844
2020-11-27,1147645.1004706572
2020-11-30,1136166.520033264
2020-12-01,1144378.664600067
2020-12-02,1142088.8143040466
2020-12-03,1144249.7035330962
2020-12-04,1160970.5725148774
2020-12-07,1154762.4592321014
2020-12-08,1159708.5632512665
2020-12-09,1157463.0065879822
2020-12-10,1157648.3708112335
2020-12-11,1163884.1041094207
2020-12-14,1151446.1495492172
2020-12-15,1174838.1000134659
2020-12-16,1167136.2866275024
2020-12-17,1172649.507053833
2020-12-18,1166445.2364886857
2020-12-21,1174494.4893831252
2020-12-22,1165983.5545318986
2020-12-23,1173020.7887916947
2020-12-24,1175295.3825580215
2020-12-28,1184643.0267024613
2020-12-29,1176524.4644237137
2020-12-30,1183136.397635994
2020-12-31,1188151.7501140214
2021-01-04,1168085.0590505218
2021-01-05,1174204.111719246
2021-01-06,1195492.7591801835
2021-01-07,1207134.7898405076
2021-01-08,1209025.2358975983
2021-01-11,1203211.9814989471
2021-01-12,1209325.6367971802
2021-01-13,1207481.8568387986
2021-01-14,1207051.63194561
2021-01-15,1196015.8264341354
2021-01-19,1198349.282588005
2021-01-20,1210462.9124850084
2021-01-21,1214503.9997037887
2021-01-22,1202009.9677287673
2021-01-25,1198232.9736426927
2021-01-26,1190019.7796271516
2021-01-27,1164969.359081459
2021-01-28,1174072.0004737473
2021-01-29,1146625.8945433425
2021-02-01,1160078.269931488
2021-02-02,1182323.5997132112
2021-02-03,1178972.9209513091
2021-02-04,1200218.2627710723
2021-02-05,1208311.9694036867
2021-02-08,1220697.063172455
2021-02-09,1218014.8018429184
2021-02-10,1216911.7040621568
2021-02-11,1219904.2470682908
2021-02-12,1220271.424573784
2021-02-16,1224887.6293035508
2021-02-17,1226468.802560997
2021-02-18,1221051.6129945756
2021-02-19,1226219.1701387407
2021-02-22,1226503.1603955461
2021-02-23,1232427.0853137588
2021-02-24,1244211.8870207598
2021-02-25,1224181.362774544
2021-02-26,1207229.5128474808
2021-03-01,1241726.0377875902
2021-03-02,1228508.2076636888
2021-03-03,1222099.8551840591
2021-03-04,1206688.6932867814
2021-03-05,1231491.482925148
2021-03-08,1237728.8276288223
2021-03-09,1239805.1878382494
2021-03-10,1251895.9183852007
2021-03-11,1256360.3590148545
2021-03-12,1270458.6426257708
2021-03-15,1278524.5869334794
2021-03-16,1272012.1965316392
2021-03-17,1282745.404104271
2021-03-18,1266864.5304802323
2021-03-19,1242599.413415413
2021-03-22,1245480.4231071854
2021-03-23,1229035.9806212236
2021-03-24,1231734.8536787797
2021-03-25,1245974.377952385
2021-03-26,1264170.5533718492
2021-03-29,1263105.6687355805
2021-03-30,1262376.0172450258
2021-03-31,1255081.093675232
2021-04-01,1261229.5852010346
2021-04-05,1274085.8920719149
2021-04-06,1267667.9878778458
2021-04-07,1273668.8853070452
2021-04-08,1275180.0624957657
2021-04-09,1286734.3031894304
2021-04-12,1279991.69554966
2021-04-13,1281834.3196796037
2021-04-14,1284264.231966591
2021-04-15,1288909.1591862107
2021-04-16,1295030.922760582
2021-04-19,1291087.0210372163
2021-04-20,1279488.3549259186
2021-04-21,1292529.2535468293
2021-04-22,1277119.925763817
2021-04-23,1287153.325584488
2021-04-26,1282856.7682080842
2021-04-27,1281446.7350851442
2021-04-28,1277312.86757988
2021-04-29,1281040.3366262056
2021-04-30,1270726.9487884524
2021-05-03,1277964.490331879
2021-05-04,1277833.7130614854
2021-05-05,1287136.1759430314
2021-05-06,1298620.436185341
2021-05-07,1307114.5163928987
2021-05-10,1302802.12384182
2021-05-11,1283194.0386882403
2021-05-12,1260706.4504011918
2021-05-13,1281707.4589561846
2021-05-14,1299781.2769438555
2021-05-17,1300292.0587654498
2021-05-18,1282191.8497075273
2021-05-19,1274532.9546072008
2021-05-20,1283701.512874756
2021-05-21,1283103.5305684283
2021-05-24,1291100.0262405016
2021-05-25,1281426.0147389604
2021-05-26,1281435.5258519365
2021-05-27,1287243.9919362261
2021-05-28,1286573.359973526
2021-06-01,1291753.7966614536
2021-06-02,1294563.418769722
